Category,Country Name,Country Code,1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Country,Monaco,MCO,5.555555556,22.22222222,22.22222222,22.22222222,22.22222222,22.22222222,20.83333333,20.83333333,20.83333333,20.83333333,20.83333333,25,26.08695652,26.08695652,19.04761905,19.04761905,20.83333333,20.83333333,20.83333333,20.83333333,20.83333333,33.33333333,33.33333333,33.33333333
Country,Mongolia,MNG,7.894736842,7.894736842,7.894736842,10.52631579,10.52631579,10.52631579,10.52631579,6.756756757,6.666666667,6.578947368,6.578947368,4.166666667,3.947368421,3.947368421,3.947368421,14.86486486,14.86486486,14.86486486,14.47368421,17.10526316,17.10526316,17.10526316,17.33333333,17.33333333
Country,Montenegro,MNE,..,..,..,..,..,..,..,..,..,8.641975309,11.11111111,11.11111111,11.11111111,11.11111111,12.34567901,17.28395062,16.04938272,17.28395062,17.28395062,23.45679012,23.45679012,23.45679012,28.39506173,22.22222222
Country,Morocco,MAR,0.615384615,0.615384615,0.615384615,0.615384615,0.615384615,10.76923077,10.76923077,10.76923077,10.76923077,10.76923077,10.46153846,10.46153846,10.46153846,10.46153846,16.96202532,16.96202532,16.96202532,16.96202532,16.96202532,20.50632911,20.50632911,20.50632911,20.50632911,20.50632911
Country,Mozambique,MOZ,25.2,25.2,..,30,30,30,30,34.8,34.8,34.8,34.8,34.8,39.2,39.2,39.2,39.2,39.2,..,39.6,39.6,39.6,39.6,41.2,42.4
Country,Myanmar,MMR,..,..,..,..,..,..,..,..,..,..,..,..,..,4.294478528,3.544303797,6.032482599,6.032482599,5.594405594,12.69349845,9.930715935,10.16166282,10.16166282,11.31639723,11.11111111
Country,Namibia,NAM,22.22222222,22.22222222,22.22222222,25,25,25,26.38888889,25,26.92307692,26.92307692,26.92307692,26.92307692,26.92307692,24.35897436,24.35897436,24.35897436,24.35897436,..,41.34615385,41.34615385,41.34615385,46.15384615,42.70833333,43.26923077
Country,Nauru,NRU,..,0,0,..,0,0,..,0,0,0,0,0,0,0,0,0,5.263157895,5.263157895,5.263157895,5.263157895,10.52631579,10.52631579,10.52631579,10.52631579
Country,Nepal,NPL,3.414634146,3.414634146,5.853658537,5.853658537,5.853658537,5.853658537,5.853658537,5.853658537,5.853658537,5.882352941,17.32522796,33.16498316,33.16498316,33.16498316,33.16498316,33.16498316,..,29.48073702,29.54924875,29.57983193,29.57983193,32.72727273,32.72727273,32.72727273
Country,Netherlands,NLD,31.33333333,36,36,36,36,34,36.66666667,36.66666667,36.66666667,36.66666667,39.33333333,41.33333333,42,40.66666667,40.66666667,38.66666667,38.66666667,38.66666667,37.33333333,37.33333333,36,36,31.33333333,33.33333333
Country,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Country,New Zealand,NZL,29.16666667,29.16666667,29.16666667,30.83333333,30.83333333,29.16666667,28.33333333,28.33333333,32.23140496,32.23140496,33.05785124,33.60655738,33.60655738,33.60655738,32.23140496,32.23140496,32.23140496,29.75206612,31.40495868,31.40495868,38.33333333,38.33333333,40.83333333,40.83333333
Country,Nicaragua,NIC,10.75268817,10.75268817,9.677419355,9.677419355,..,20.65217391,20.65217391,20.65217391,20.65217391,15.2173913,18.47826087,18.47826087,20.65217391,20.65217391,40.2173913,40.2173913,40.2173913,42.39130435,41.30434783,45.65217391,45.65217391,45.65217391,44.56521739,47.25274725
Country,Niger,NER,1.204819277,1.204819277,..,1.204819277,1.204819277,1.204819277,1.204819277,12.38938053,12.38938053,12.38938053,12.38938053,12.38938053,9.734513274,..,13.27433628,13.27433628,13.27433628,13.27433628,13.27433628,14.61988304,16.95906433,16.95906433,16.95906433,16.95906433
Country,Nigeria,NGA,..,..,..,3.418803419,3.418803419,3.418803419,4.722222222,4.722222222,6.388888889,6.111111111,6.983240223,6.983240223,6.983240223,6.983240223,6.818181818,6.666666667,6.666666667,6.666666667,5.555555556,5.555555556,5.555555556,5.555555556,3.38028169,3.631284916
Country,North Macedonia,MKD,3.333333333,3.333333333,7.5,6.666666667,6.666666667,17.5,18.33333333,19.16666667,19.16666667,28.33333333,29.16666667,31.66666667,32.5,32.5,30.89430894,32.5203252,34.14634146,33.33333333,33.33333333,33.33333333,37.5,38.33333333,39.16666667,38.33333333
Country,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Country,Norway,NOR,36.36363636,36.36363636,36.36363636,36.36363636,35.75757576,36.36363636,36.36363636,38.18181818,37.86982249,37.86982249,36.09467456,36.09467456,39.64497041,39.64497041,39.64497041,39.64497041,39.64497041,39.64497041,39.64497041,39.64497041,41.42011834,41.42011834,40.82840237,41.42011834
Country,Oman,OMN,..,..,..,..,..,..,..,2.409638554,2.409638554,2.409638554,0,0,0,0,1.19047619,1.19047619,1.19047619,1.19047619,1.176470588,1.176470588,1.176470588,1.176470588,2.325581395,2.325581395
Country,Pakistan,PAK,2.304147465,2.304147465,..,..,..,21.05263158,21.6374269,21.34502924,21.34502924,21.34502924,21.05263158,22.4852071,22.22222222,22.22222222,22.51461988,22.51461988,20.74303406,20.74303406,20.58823529,20.58823529,20.58823529,20.23460411,20.23460411,20.1754386
Country,Palau,PLW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,12.5,12.5,12.5
Country,Panama,PAN,9.722222222,9.722222222,..,9.85915493,9.85915493,9.85915493,9.85915493,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,8.450704225,8.450704225,8.450704225,8.450704225,8.450704225,19.29824561,18.30985915,18.30985915,18.30985915,18.30985915,21.12676056,22.53521127
Country,Papua New Guinea,PNG,1.834862385,1.834862385,1.834862385,1.834862385,1.834862385,..,0.917431193,0.917431193,0.917431193,0.917431193,0.917431193,0.917431193,0.917431193,0.917431193,0.917431193,2.702702703,2.702702703,2.702702703,2.702702703,2.702702703,0,0,0,0
Country,Paraguay,PRY,2.5,..,2.5,2.5,2.5,2.5,8.75,10,10,10,10,12.5,12.5,12.5,12.5,12.5,17.5,15,15,15,13.75,15,15,16.25
Country,Peru,PER,10.83333333,10.83333333,10.83333333,..,18.33333333,18.33333333,18.33333333,18.33333333,18.33333333,29.16666667,29.16666667,29.16666667,27.5,27.5,21.53846154,21.53846154,21.53846154,22.30769231,22.30769231,27.69230769,27.69230769,27.69230769,30,26.15384615
Country,Philippines,PHL,11.05990783,12.44239631,12.44239631,11.26126126,17.75700935,17.75700935,17.75700935,15.25423729,15.25423729,15.25423729,20.50209205,20.50209205,20.97378277,22.14285714,22.88732394,22.88732394,27.33564014,27.33564014,27.24137931,29.79452055,29.45205479,29.45205479,27.96052632,27.96052632
Country,Poland,POL,13.04347826,13.04347826,13.04347826,13.04347826,20.2173913,20.2173913,20.2173913,20.2173913,20.43478261,20.43478261,20.43478261,20.2173913,20,20,23.69565217,23.69565217,23.69565217,24.34782609,27.39130435,27.39130435,28.04347826,28.04347826,28.69565217,28.69565217
Country,Portugal,PRT,13.04347826,13.04347826,18.69565217,17.39130435,18.69565217,19.13043478,19.13043478,19.13043478,21.30434783,21.30434783,28.26086957,28.26086957,27.39130435,27.39130435,28.69565217,28.69565217,31.30434783,31.30434783,34.7826087,34.7826087,34.7826087,34.7826087,38.69565217,40
Country,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Country,Qatar,QAT,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,9.756097561,9.756097561,9.756097561,9.756097561
Country,Romania,ROU,7.288629738,7.288629738,7.288629738,..,10.72463768,10.72463768,10.72463768,11.44578313,11.17824773,11.17824773,9.393939394,11.37724551,11.37724551,11.37724551,11.21212121,13.34951456,13.34951456,13.51351351,13.71571072,13.71571072,20.66869301,20.66869301,21.88449848,21.88449848
Country,Russian Federation,RUS,10.22222222,10.22222222,..,7.709750567,7.572383073,7.572383073,7.572383073,9.843400447,9.843400447,9.843400447,14,14,14,14,13.55555556,13.55555556,13.55555556,13.55555556,13.55555556,12.66666667,15.77777778,15.77777778,15.77777778,15.77777778
Country,Rwanda,RWA,17.14285714,17.14285714,17.14285714,25.71428571,25.67567568,25.67567568,48.75,48.75,48.75,48.75,48.75,56.25,56.25,56.25,56.25,56.25,63.75,63.75,63.75,63.75,61.25,61.25,61.25,61.25
Country,Samoa,WSM,4.081632653,4.081632653,8.163265306,8.163265306,6.12244898,6.12244898,6.12244898,6.12244898,6.12244898,6.12244898,8.163265306,8.163265306,8.163265306,8.163265306,4.081632653,4.081632653,4.081632653,6.12244898,6.12244898,10,10,10,10,10
Country,San Marino,SMR,11.66666667,13.33333333,13.33333333,13.33333333,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,11.66666667,11.66666667,15,16.66666667,16.66666667,18.33333333,16.66666667,18.33333333,18.33333333,16.66666667,23.33333333,26.66666667,26.66666667,25,33.33333333
Country,Sao Tome and Principe,STP,7.272727273,7.272727273,9.090909091,9.090909091,9.090909091,..,9.090909091,9.090909091,9.090909091,7.272727273,1.818181818,7.272727273,7.272727273,18.18181818,18.18181818,18.18181818,18.18181818,18.18181818,18.18181818,18.18181818,18.18181818,14.54545455,14.54545455,14.54545455
